MAGPIID,Ha,Ha_err,Hb,[OI]6302,[OIII]5008,[NII]6585,[SII]6718,"type(sf+AGN=0, sf=1, sy=2, ln=3)","type(sf=1, sy=2, ln=3) SII","type(sf=1, AGN>1) NII",SFR,SFR_err,"re, arcsec","re, kpc"
1201197192,0.0,,0.0,128.3732,405.64783,815.3795,0.0,0.0,0.0,2.0,,,1.052,48.237594145598706
1201197199,0.0,,0.0,93.13379,404.24445,0.0,0.0,0.0,0.0,0.0,,,1.175,54.00441815358477
1202197197,16505.285,2.0540894486708218e-16,3179.6416,4663.3076,1330.2783,7689.7227,4553.3726,1.0,1.0,0.0,0.9560942608024336,0.32441969160922146,2.224,83.51928347305228
1203040085,265.971,inf,0.0,352.46606,669.4203,2135.7007,0.0,2.0,2.0,2.0,inf,inf,1.092,44.44806309942094
1203070184,0.0,,0.0,173.73975,731.8509,0.0,0.0,0.0,0.0,0.0,,,1.348,54.0579586021266
1203195161,10871.052,9.620922764602375e-17,2413.32,1575.62,252.95439,3832.7786,2542.0898,1.0,1.0,0.0,0.4180256483071276,0.13741325385798256,1.69,60.35325553176565
1203196196,0.0,,0.0,539.86115,1344.2925,828.4878,0.0,0.0,0.0,2.0,,,1.911,76.9223859087829
1203230310,0.0,,0.0,19.531483,0.0,52.18901,0.0,0.0,0.0,0.0,,,0.9499999999999998,38.48243559341318
1204141177,0.0,,0.0,358.00668,2441.9385,0.0,566.12756,0.0,0.0,0.0,,,1.892,23.317657450860022
1204198199,765.1166,3.9672356594908646e-15,43.924797,129.21397,803.2958,2335.0706,0.0,0.0,1.0,0.0,0.7465236624353467,7.536329510662749,1.99,81.95907826011015
1205093221,1709.6273,1.6909202499571733e-14,25.762371,903.0259,1533.9148,2930.623,2532.5552,0.0,2.0,2.0,25.552828274099728,26.643000070220584,1.207,45.27363025251082
1205197197,11050.397,1.4699481216188684e-16,2227.497,1241.3392,8879.554,12422.639,4946.078,0.0,2.0,2.0,0.5794275718901938,0.23197829549684887,1.725,64.75448016576402
1206110186,0.0,,0.0,173.76353,1435.2142,196.12755,0.0,0.0,0.0,2.0,,,1.643,55.87004716165526
1206196198,0.0,,0.0,135.73862,928.6932,1189.7805,0.0,0.0,0.0,2.0,,,1.713,73.32646525024934
1206276211,0.0,,0.0,220.32474,673.85864,360.93384,0.0,0.0,0.0,2.0,,,1.211,41.373450507469535
1207128248,22220.445,1.272238058120048e-16,4386.915,2925.0957,35072.51,14536.258,8023.405,2.0,2.0,2.0,1.5251919831759164,0.2511722190433176,1.473,61.84611244838624
1207197197,38673.812,1.111052565104522e-16,9186.449,769.59973,14057.278,35291.305,239.56392,0.0,1.0,2.0,1.7685509551099394,0.21871772995064886,1.756,73.62193917815844
1208197197,217.15735,inf,0.0,215.3729,1448.862,3779.9885,1446.9178,2.0,2.0,2.0,inf,inf,1.256,48.79076278071146
1209131247,4477.807,6.825809955307163e-17,890.2015,594.7617,595.7062,2323.4014,1444.1752,0.0,1.0,0.0,0.25008986428560015,0.1113249835931012,1.129,43.084515624652106
