# MAGPI_ID      z_spec        SFR        SFR_err  SFR_flag
#==Notes: SFR_flag=0 use Ha/Hb for correction, 1 use Ha/Hg, 2 use Hb/Hg, 3 use Hb/Hd==
#==Require S/N>=3 on both lines; Corrections assume Milky Way extinction curve==
1204261231     0.150200   0.00259258  0.000339359       0
1204266138     0.609500     0.158216     0.168812       2
1204279139     0.622900      4.84615      1.19408       2
1204282041     0.536000    0.0787293    0.0529001       2
1204283143     0.624400      1.70963     0.315279       2
1204298191     0.504000          NaN          NaN     -99
1204299243     0.350200          NaN          NaN     -99
1204326275     0.404300          NaN          NaN     -99
1204331311     0.254500     0.181124   0.00382029       0
1204347243     0.350600    0.0288020   0.00191621       0
1204349096      1.23580          NaN          NaN     -99
1204349158     0.848000     0.800670     0.216622       2
1204355300    0.0778000          NaN          NaN     -99
1205047357     0.481600    0.0525513    0.0278552       3
1205063140      1.00940          NaN          NaN     -99
1205075069     0.972800          NaN          NaN     -99
1205077132     0.483800     0.185482     0.165253       2
1205093221     0.291000     0.309498    0.0704316       0
1205097055     0.290200   0.00709134   0.00229006       0
1205110313     0.588400    0.0852977    0.0366976       2
1205118127      1.20140          NaN          NaN     -99
1205120134     0.645500     0.156665    0.0832865       2
1205124316     0.973100          NaN          NaN     -99
1205152316     0.243300          NaN          NaN     -99
1205169271      1.30590          NaN          NaN     -99
1205171252      1.01840          NaN          NaN     -99
1205177229      1.42240          NaN          NaN     -99
1205193352      1.37180          NaN          NaN     -99
1205196165     0.291700     0.539962    0.0239278       0
1205197197     0.291200      4.28922    0.0967305       0
1205197346     0.787700      2.30224     0.674840       2
1205198244     0.795400     0.410004     0.197630       3
1205205254     0.481700     0.970424     0.197047       2
1205219146     0.916100          NaN          NaN     -99
1205224217     0.756600    0.0381953    0.0456461       2
1205224248     0.689100      1.15156     0.237710       2
1205229264     0.668400          NaN          NaN     -99
1205232328     0.482100     0.278229     0.123363       2
1205242077      1.22400          NaN          NaN     -99
1205242089     0.482200     0.978180     0.399190       2
1205245107     0.525700      5.04425      6.69992       2
1205252361     0.622900      30.5028      20.3250       2
1205253345     0.522300      1.37496     0.258968       2
1205283115     0.482900      1.39038      1.02906       2
1205289374     0.290200    0.0367592    0.0106181       0
1205305185     0.601200          NaN          NaN     -99
1205311299      1.17870          NaN          NaN     -99
1205317175     0.600700    0.0860339    0.0576708       2
1205325084     0.524200    0.0357420    0.0184867       2
1205338078     0.652000          NaN          NaN     -99
1205348125     0.796000      5.82247      4.61916       2
1205354224     0.600500     0.283200     0.180226       2
1206030269     0.270000          NaN          NaN     -99
1206037291      1.20800          NaN          NaN     -99
1206046192     0.267500          NaN          NaN     -99
1206047112     0.702000          NaN          NaN     -99
1206048153     0.559900     0.485204    0.0846047       2
1206055146      1.40570          NaN          NaN     -99
1206063305     0.926300          NaN          NaN     -99
1206069101     0.701500      8.47705     0.543113       2
1206079219     0.761200      3.94388     0.495245       2
1206110186     0.267100          NaN          NaN     -99
1206111219     0.267300          NaN          NaN     -99
1206117335     0.327300          NaN          NaN     -99
1206130142     0.582100      2.10048      1.65096       2
1206136246      1.41860          NaN          NaN     -99
1206137151     0.107100    0.0565308  0.000791107       0
1206140290      1.40710          NaN          NaN     -99
1206144156     0.107100    0.0375513  0.000434663       0
1206147253     0.264300          NaN          NaN     -99
1206151090     0.324900      2.22293    0.0115028       0
1206153324      1.40570          NaN          NaN     -99
1206158198      1.11670          NaN          NaN     -99
1206158239     0.454400          NaN          NaN     -99
1206159217     0.327600          NaN          NaN     -99
1206169280      1.41790          NaN          NaN     -99
1206171132     0.980700          NaN          NaN     -99
1206196198     0.326300          NaN          NaN     -99
1206200312     0.266600          NaN          NaN     -99
1206205075     0.326100          NaN          NaN     -99
1206217139     0.454500     0.325799    0.0947725       2
1206225236     0.327100          NaN          NaN     -99
1206225319      1.47510          NaN          NaN     -99
1206243216     0.324400    0.0576108   0.00471360       0
1206247241      1.41830          NaN          NaN     -99
1206247262     0.638500    0.0285085    0.0411358       2
1206262286     0.270300     0.126420   0.00356926       0
1206270108     0.581100      2.30614     0.214766       2
1206276211     0.268200          NaN          NaN     -99
1206291238     0.325900    0.0556190   0.00368518       0
1206295127     0.382600    0.0208846   0.00143475       0
1206300188     0.416200     0.102890   0.00507939       0
1206301185     0.416100    0.0125572   0.00217764       0
1206305217     0.323700    0.0273690   0.00363394       0
1206306251     0.131000    0.0237755  0.000441968       0
1206322202     0.325800     0.410096   0.00564037       0
1206327190      1.40520          NaN          NaN     -99
1206331296     0.269800          NaN          NaN     -99
1206338136     0.416000    0.0200311   0.00333918       0
1206347083      1.41970          NaN          NaN     -99
1206350210     0.926400          NaN          NaN     -99
1206376096     0.326600          NaN          NaN     -99
1207034104      1.05950          NaN          NaN     -99
1207034130      1.05920          NaN          NaN     -99
1207046196      1.13350          NaN          NaN     -99
1207065112     0.506800     0.494185     0.266075       2
1207069227      1.05950          NaN          NaN     -99
1207077351     0.473000      4.18980     0.491828       2
1207078239     0.815700          NaN          NaN     -99
1207087086     0.867200      27.0564      22.3098       2
1207090158      1.05650          NaN          NaN     -99
1207092373     0.472800          NaN          NaN     -99
1207093141      1.05800          NaN          NaN     -99
1207094264     0.716800          NaN          NaN     -99
1207094345     0.471500      6.92017      1.15047       2
1207098252     0.718500      6.24106      5.18993       2
1207099099     0.465000    0.0196516    0.0127560       2
1207101266      1.28960          NaN          NaN     -99
1207103093     0.306400    0.0174852   0.00284072       0
1207105205     0.339200    0.0686463   0.00318596       0
1207105348     0.472200     0.827730     0.396646       2
1207111193     0.718400     0.191348     0.101182       2
1207122345     0.471000     0.208612     0.115097       2
1207128248     0.320900      2.51923    0.0710180       0
1207136308     0.322700    0.0146697   0.00323023       0
1207138052     0.625300      7.52682     0.952463       2
1207148368     0.465700    0.0162357    0.0231822       2
1207149339     0.472200      1.33420     0.273220       2
1207159209     0.844600     0.473923     0.272031       2
1207161166      1.05170          NaN          NaN     -99
1207166144     0.333400    0.0146295   0.00129957       0
1207167256     0.717300    0.0893179    0.0540589       2
1207173092     0.770000     0.211077     0.142576       2
1207181305     0.320800     0.860448    0.0299513       0
1207182177      1.06250          NaN          NaN     -99
1207185042     0.227200    0.0452150   0.00176496       1
1207188178      1.48840          NaN          NaN     -99
1207189163     0.494600      54.3989      55.2269       2
1207190188     0.690300      2.73528     0.413539       2
1207197197     0.320500      5.96689     0.211123       0
1207203215     0.495000    0.0191620    0.0190464       2
1207208145     0.940000          NaN          NaN     -99
1207215177      1.06050          NaN          NaN     -99
1207217246     0.717300     0.189656    0.0633447       2
1207227102      1.24700          NaN          NaN     -99
1207244335      1.48630          NaN          NaN     -99
1207246272     0.944700          NaN          NaN     -99
1207247139     0.767700    0.0511295    0.0373433       2
1207249231      1.48520          NaN          NaN     -99
1207250329      1.48930          NaN          NaN     -99
1207250337      1.48740          NaN          NaN     -99
1207252190     0.233800     0.125648   0.00516521       0
1207261078     0.324200          NaN          NaN     -99
1207266112     0.717400    0.0437964    0.0369509       2
1207272186      1.05800          NaN          NaN     -99
1207275080     0.766400      4.96185      3.72824       2
1207305033     0.696900    0.0789655    0.0879616       2
1207316281     0.306300   0.00700043   0.00174633       0
1207317240      1.48500          NaN          NaN     -99
1207329231     0.464200          NaN          NaN     -99
1207335140     0.784600          NaN          NaN     -99
1208048166     0.711500      9.38911      4.38361       2
1208066111     0.767400    0.0385915    0.0551591       2
1208072218     0.711400      2.17184      2.38323       2
1208088327     0.845800     0.266857     0.121809       2
1208089048     0.252800          NaN          NaN     -99
1208101254      1.16580          NaN          NaN     -99
1208107148     0.712200          NaN          NaN     -99
1208108314     0.299500   0.00371844  0.000926265       0
1208109039     0.372300      3.16752    0.0420308       0
1208114322     0.712200     0.256079     0.110910       2
1208122151      1.28540          NaN          NaN     -99
1208124141     0.798600    0.0743934    0.0927587       2
1208129222     0.837500      1.00031     0.177690       2
1208132189     0.711600          NaN          NaN     -99
1208133169     0.798000      10.1895      2.87888       2
1208135139     0.713000     0.219214     0.350243       2
1208142253     0.710600          NaN          NaN     -99
1208144265     0.701800          NaN          NaN     -99
1208145154      1.37740          NaN          NaN     -99
1208149191     0.440000      1.14227     0.123925       2
1208151070     0.370600     0.186708   0.00950843       0
1208154213     0.439900    0.0892334    0.0421741       2
1208155156      1.41770          NaN          NaN     -99
1208162059     0.683400      2.27107     0.519760       2
1208167141     0.372300    0.0113316   0.00179011       0
1208168301     0.870000          NaN          NaN     -99
1208182221     0.710200      1.37875      1.48937       2
1208186206     0.734500    0.0948762     0.129677       2
1208188333     0.931700          NaN          NaN     -99
1208194075     0.782400      1.28197     0.261505       2
1208197197     0.300000          NaN          NaN     -99
1208201071     0.714000    0.0234038    0.0256529       2
1208217088      1.34340          NaN          NaN     -99
1208219075      1.34200          NaN          NaN     -99
1208227176      1.37870          NaN          NaN     -99
1208240110      1.07730          NaN          NaN     -99
1208247176     0.588300    0.0504226    0.0472083       2
1208247248     0.351200    0.0106062   0.00420739       0
1208250249     0.351200    0.0172055   0.00264782       0
1208253146      1.32260          NaN          NaN     -99
1208271272      1.33720          NaN          NaN     -99
1208272148      1.24660          NaN          NaN     -99
1208274126      1.20000          NaN          NaN     -99
1208292293      1.37400          NaN          NaN     -99
1208293317     0.601600     0.447879     0.133459       2
1208298046     0.931400          NaN          NaN     -99
1208301141     0.714300    0.0487309    0.0345701       2
1208313107     0.931900          NaN          NaN     -99
1208313198     0.845700      1.14471     0.732708       2
1208327123     0.721500     0.598799     0.149627       2
1208328064     0.373900    0.0247166   0.00438439       0
1208339101     0.446600     0.189031     0.170838       2
1208350252      1.37240          NaN          NaN     -99
1208366099     0.714700          NaN          NaN     -99
1209046249     0.444300          NaN          NaN     -99
1209059255     0.453400          NaN          NaN     -99
1209066226      1.26940          NaN          NaN     -99
1209076094     0.700900          NaN          NaN     -99
1209089186     0.444700    0.0134217   0.00995568       2
1209091120      1.26950          NaN          NaN     -99
1209091164      1.18020          NaN          NaN     -99
1209094244      1.13870          NaN          NaN     -99
1209112213      1.16580          NaN          NaN     -99
1209119126     0.409100     0.107497   0.00634002       0
1209131247     0.295400      2.85206     0.131982       0
1209134192     0.845300     0.112915    0.0877549       2
1209135220     0.294900          NaN          NaN     -99
1209137098      1.11860          NaN          NaN     -99
1209152319     0.570100     0.891245     0.153178       2
1209168317      1.44600          NaN          NaN     -99
1209181256     0.738500     0.242777    0.0971184       2
1209181319     0.402000          NaN          NaN     -99
1209185171      1.43390          NaN          NaN     -99
1209189246     0.294800    0.0287144   0.00159718       0
1209190232     0.433200      2.75123     0.457499       2
1209197197     0.295400      4.14242     0.157470       0
1209198056     0.533100     0.240445    0.0439697       2
1209205332      1.44490          NaN          NaN     -99
1209206324     0.570200      11.9128      2.51114       2
1209208320     0.570100     0.108015    0.0632172       2
1209224262     0.443900    0.0780604    0.0172813       2
1209224342     0.570000      1.10131     0.582619       2
1209231330     0.570800     0.362965    0.0770149       2
1209233287     0.440100    0.0208533    0.0161004       2
1209233297      1.02340          NaN          NaN     -99
1209246250     0.723100     0.642956     0.367952       2
1209247234     0.325700    0.0375176   0.00327573       0
1209252225     0.539700    0.0495503    0.0254031       2
1209257187     0.296000     0.338167    0.0350998       0
1209275341     0.657100      6.10521     0.910494       2
1209279340     0.656500    0.0883913     0.131510       2
1209284084     0.575700      1.37926      1.04901       2
1209287067     0.753800          NaN          NaN     -99
1209287238     0.444400          NaN          NaN     -99
1209295219     0.228800     0.279545   0.00774031       0
1209298121      1.18050          NaN          NaN     -99
1209327148     0.452700          NaN          NaN     -99
1209328270     0.259400     0.111959   0.00270662       0
1209346184      1.30360          NaN          NaN     -99
1501032099     0.608700          NaN          NaN     -99
1501041263      1.09070          NaN          NaN     -99
1501048099     0.310800          NaN          NaN     -99
1501083058     0.608100     0.483548     0.217964       2
1501083071     0.607400      1.53211     0.258661       2
1501087220      1.30620          NaN          NaN     -99
1501089163      1.06710          NaN          NaN     -99
1501095297     0.609400          NaN          NaN     -99
1501101303     0.310900          NaN          NaN     -99
1501110153      1.23970          NaN          NaN     -99
1501115209     0.307500          NaN          NaN     -99
1501119259     0.832900      6.65925      1.76319       2
1501130304     0.798200     0.370005     0.137156       2
1501135126     0.306400          NaN          NaN     -99
1501150218     0.307900          NaN          NaN     -99
1501164040     0.236700     0.969284    0.0118743       0
1501176107     0.308600          NaN          NaN     -99
1501178229     0.306200    0.0652110    0.0106745       0
1501180123     0.309900          NaN          NaN     -99
1501180291     0.827000     0.212666     0.256214       2
1501185077     0.511100    0.0239445    0.0134628       2
1501187150     0.740900          NaN          NaN     -99
1501196198     0.309200          NaN          NaN     -99
1501214133     0.510600      1.57315     0.169894       2
1501216130     0.510700    0.0343626    0.0352827       2
1501219148     0.274000    0.0135465   0.00147112       0
1501224275     0.311000          NaN          NaN     -99
1501259290     0.307800          NaN          NaN     -99
1501276169     0.306800          NaN          NaN     -99
1501282068     0.177200    0.0362818   0.00126402       0
1501299210     0.306800          NaN          NaN     -99
1501321189     0.740800     0.530394     0.393731       2
1501322284      1.11890          NaN          NaN     -99
1501323082     0.310000          NaN          NaN     -99
1501329201     0.272300     0.112264   0.00337171       0
1501337240     0.730100     0.404485     0.318065       2
1501339278     0.309600          NaN          NaN     -99
1502033076     0.922200          NaN          NaN     -99
1502048086      1.28840          NaN          NaN     -99
1502051187     0.294500     0.144756    0.0204092       0
1502062294     0.448200      3.85862      2.82964       2
1502071104     0.371000      1.52132    0.0333969       0
1502079084     0.340500     0.703893    0.0116235       0
1502080061     0.873400      226.127      147.027       2
1502080140     0.150100     0.324321   0.00372415       0
1502096361     0.555900      1.09347     0.232231       2
1502101342     0.555500     0.710496     0.308240       2
1502113072     0.646500     0.369754     0.265452       2
1502121220     0.295700          NaN          NaN     -99
1502131056     0.739500          NaN          NaN     -99
1502151195     0.615300      5.00748      1.60671       2
1502153326     0.615700      2.20554     0.897748       2
1502156074     0.467000          NaN          NaN     -99
1502197197     0.296100     0.115140    0.0294583       1
1502208255     0.295300    0.0788576   0.00690762       0
1502224142     0.615600      8.20109      3.08480       2
1502225063     0.370600     0.867028    0.0621778       0
1502233343     0.181500    0.0264449   0.00136031       0
1502258107     0.296400          NaN          NaN     -99
1502263063     0.803400     0.569739     0.360355       2
1502268200     0.615000          NaN          NaN     -99
1502272298      1.29200          NaN          NaN     -99
1502275236     0.316100     0.648880   0.00625901       0
1502277280     0.295300          NaN          NaN     -99
1502284313     0.826400     0.286560     0.187116       2
1502293058     0.284000     0.104748   0.00383393       0
1502295121      1.29000          NaN          NaN     -99
1502310233     0.873000      1.18183     0.552402       2
1502312068      1.18070          NaN          NaN     -99
1502316100     0.615500          NaN          NaN     -99
1502326146     0.283700    0.0576543   0.00478556       0
1503031132     0.125200    0.0226411   0.00139628       0
1503078307     0.858900     0.849040     0.431936       2
1503085308     0.381700      2.88075     0.119649       0
1503098320     0.279600   0.00867836   0.00181236       0
1503108306     0.185300    0.0758157   0.00142541       0
1503115072     0.137100          NaN          NaN     -99
1503120240     0.701900     0.133234    0.0520802       2
1503127293     0.570900          NaN          NaN     -99
1503133156      1.31430          NaN          NaN     -99
1503169119     0.140500          NaN          NaN     -99
1503169251     0.336300    0.0520090    0.0165279       0
1503180339     0.918100          NaN          NaN     -99
1503185203     0.288400          NaN          NaN     -99
1503197197     0.287500          NaN          NaN     -99
1503200099      1.13550          NaN          NaN     -99
1503208112     0.701800      10.1204      5.92609       2
1503208231     0.288700      2.47450    0.0609438       0
1503215177     0.892900    0.0586906    0.0836750       2
1503215238     0.289200   0.00914676   0.00265696       0
1503220305     0.287800          NaN          NaN     -99
1503237175     0.832000      5.24566      2.41539       2
1503239058     0.712500      4.90542      1.00688       2
1503266235      1.34010          NaN          NaN     -99
1503273048     0.136300    0.0100762  0.000967697       0
1503279150     0.289200    0.0360645   0.00259019       0
1503282074     0.134700    0.0146674   0.00168457       0
1503291252     0.832600      5.12415      4.91236       2
1503295133     0.167800    0.0384390   0.00151965       0
1503316290     0.383200     0.431063   0.00933134       0
1503321145     0.135400     0.237060   0.00229012       0
1503338221     0.611500          NaN          NaN     -99
1503345187     0.382600    0.0419565   0.00582137       0
1503349058     0.646200     0.200084     0.255790       2
1505030111     0.154400     0.156833   0.00351188       0
1505046213     0.557600      17.0741      12.0523       2
1505081324     0.792000     0.180918     0.143284       2
1505095277     0.614300      1.00854     0.192504       2
1505121071      1.24560          NaN          NaN     -99
1505128351     0.746100     0.321610     0.250311       2
1505136036     0.315900     0.562878    0.0266786       0
1505157146     0.142900          NaN          NaN     -99
1505176243     0.317400          NaN          NaN     -99
1505187300      1.38520          NaN          NaN     -99
1505188352     0.792400          NaN          NaN     -99
1505192114     0.557600      2.80220      2.40438       2
1505197196     0.316900          NaN          NaN     -99
1505199258     0.856500     0.149251    0.0570169       2
1505203297     0.793200     0.327187     0.213162       2
1505209170      1.14980          NaN          NaN     -99
1505209340     0.803900      6.55311      2.47637       2
1505214079     0.787600      7.05145      7.53258       2
1505218300     0.713500     0.110952    0.0697027       2
1505219169     0.956600          NaN          NaN     -99
1505230063     0.786900     0.103499    0.0763059       2
1505237270      1.38360          NaN          NaN     -99
