MAGPIID,Ha,Ha_err,Hb,[OI]6302,[OIII]5008,[NII]6585,[SII]6718,"type(sf+AGN=0, sf=1, sy=2, ln=3)","type(sf=1, sy=2, ln=3) SII","type(sf=1, AGN>1) NII",SFR,SFR_err,"re, arcsec","re, kpc"
1207128248,42069.188,9.491427362678538e-17,9500.197,2925.0957,76873.516,27297.996,15600.454,2.0,2.0,2.0,2.1542645029359684,0.18738496756614711,1.473,35.44643194127864
1207181305,10971.762,5.761274784414568e-17,2056.9597,654.07385,1415.4635,3155.2231,4253.6904,1.0,1.0,0.0,0.8423530058799905,0.11366021801992228,1.047,25.18984864495045
1207197197,82095.06,1.3677066707875605e-16,17727.492,769.59973,18559.373,56225.1,8173.8833,0.0,1.0,2.0,4.621425819630369,0.26924171517022055,1.756,42.22118724500586
1207252190,3966.4463,2.3458362839977355e-17,1053.9104,73.11403,1392.4557,511.10287,520.6451,1.0,1.0,0.0,0.06908534238373028,0.022456440882670344,1.393,26.754155512692442
1208197197,299.43552,2.3195876995165925e-16,33.485355,215.3729,3284.45,7253.9966,2117.01,3.0,1.0,2.0,0.060747407707390615,0.39200412360327397,1.256,28.870273834740505
1209131247,22758.615,6.756046702630648e-17,4545.8516,594.7617,1801.1621,9617.97,6630.7656,1.0,1.0,0.0,1.2580995053633357,0.1101871855866425,1.129,25.675176001721006
1209197197,25004.172,2.6254444047022106e-16,4031.5127,1061.2887,3946.0532,15676.594,9163.367,0.0,1.0,2.0,2.2047739379090565,0.4281946863328989,1.602,36.43191492892564
1501101303,0.0,0.0,24.305069,19.433292,256.00192,142.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.8799999999999999,20.728126284226583
1501176107,1461.4795,4.959642159009791e-15,41.34633,241.50589,1268.76,2741.9985,372.02194,0.0,2.0,2.0,6.333546891785433,8.94588767222173,1.355,31.75558087640448
1501178229,1430.9714,2.7666631923443333e-17,259.81122,92.42074,182.3263,391.99875,249.45273,1.0,1.0,0.0,0.10579440367824165,0.04901255191721384,0.924,21.539527543570777
1501196198,96.95971,2.4466621805017966e-18,131.5528,483.2646,1697.2168,1425.1958,0.0,1.0,1.0,0.0,9.138748212083105e-05,0.00443296066562566,2.309,54.18510549638116
1501224275,6081.474,1.9759213551889486e-16,613.41223,105.57609,978.1317,3315.503,409.0863,0.0,1.0,2.0,1.678727604057853,0.3628348975009635,0.947,22.311169867814094
1501329201,3157.2485,1.788807806242922e-17,877.8262,147.1089,2340.384,103.647385,772.05457,1.0,1.0,0.0,0.07041897359626616,0.0242073338621792,0.8809999999999999,18.918928786843054
1501339278,58.359417,1.32677397978948e-18,48.912598,46.313087,466.17636,585.8212,0.0,0.0,1.0,0.0,0.00015768251170065895,0.0024110861692152987,0.846,19.8705081024142
1502071104,17794.215,5.2683158623336985e-17,3930.524,150.2774,2097.4277,5172.92,5228.832,1.0,1.0,0.0,1.3403528136385978,0.14580015645817954,0.815,21.554295906237684
1502197197,1671.3936,inf,0.0,252.26964,1572.7219,6059.5386,459.2889,2.0,2.0,2.0,inf,inf,1.371,31.229835730442343
1502225063,8664.363,1.1658715371578437e-16,1686.8639,167.82051,450.14243,4271.79,3065.208,1.0,1.0,0.0,0.8572604598576213,0.3218399811151245,1.153,30.472672811986815
1502277280,326.77606,6.014683524289513e-17,48.17192,72.85329,1134.5535,1447.7039,493.16748,0.0,2.0,0.0,0.03500229995074865,0.09801963821401515,0.794,18.0525259395455
1503197197,79.22966,3.41303482724608e-19,163.69351,174.79506,1296.7705,1194.86,160.96297,0.0,3.0,0.0,2.5251723930287484e-05,0.0005230419261031726,1.049,23.40922054401933
1503208231,31985.342,7.194912034239005e-17,7057.667,889.2845,2646.3105,13847.71,8791.096,1.0,1.0,0.0,1.3500764039043451,0.11131987839250089,1.255,28.08805942549743
1503316290,3963.5369,1.6094128459438603e-17,983.35565,122.169945,680.6599,888.79333,0.0,1.0,1.0,0.0,0.25001376917186896,0.04805021087047254,0.73,19.70039191558388
1505197196,0.0,,0.0,0.0,700.3818,218.51025,0.0,0.0,0.0,2.0,,,0.935,22.310734167772825
1505245192,850.242,4.860949708346884e-16,54.495495,59.227654,247.15532,616.0583,235.82986,2.0,2.0,2.0,0.6669173262225045,0.9438327681033702,0.8109999999999999,19.421810940864766
1506106169,12690.05,3.191959258745788e-17,2893.2512,295.93265,987.9806,5324.9844,4163.546,1.0,1.0,0.0,0.5220709149342065,0.05169502985536767,0.947,21.490654596730142
1506211197,130.50766,inf,0.0,193.1348,1818.0605,3189.7979,429.9148,2.0,2.0,2.0,inf,inf,0.9899999999999999,22.561639678757054
1506279269,29823.111,1.0697303646004658e-16,6352.967,1249.0415,2934.5771,13631.084,11354.886,1.0,1.0,0.0,1.4461975292642062,0.1761011426178245,1.62,36.9449390436733
1507084083,81582.42,3.110407725566469e-17,20555.75,4440.6943,33910.164,15846.782,24425.904,1.0,1.0,0.0,1.9960872154758509,0.03725405724487223,1.066,22.02485495208064
1507150106,8438.249,6.209317882661584e-17,1355.287,328.38025,541.276,3342.9329,3205.4473,1.0,1.0,0.0,0.8797351020147257,0.11873399598065038,0.799,19.049285760797694
1507190180,5153.575,2.4027333551523128e-17,1187.3132,201.48212,1210.5925,561.9817,1476.9283,1.0,1.0,0.0,0.15272949241321293,0.028676725716434467,0.963,19.874316742624767
1507196198,0.0,0.0,16.127897,70.11722,1358.363,43.596653,0.0,0.0,0.0,2.0,0.0,0.0,1.087,25.793651160589146
1508217276,21162.979,2.365665704130915e-17,4705.4785,1365.7405,4295.8535,4590.002,8190.8125,1.0,1.0,0.0,0.9647534149930688,0.04019424428738508,0.8980000000000001,20.674516047015878
1509122131,0.0,0.0,47.060776,48.387016,196.54529,39.3519,0.0,0.0,0.0,0.0,0.0,0.0,0.788,17.43852131448312
1509152248,2257.8098,8.686058330795448e-18,644.939,44.200558,1037.226,188.35686,0.0,1.0,1.0,0.0,0.10798371452512413,0.026734513268793343,0.867,23.58564929879117
1509199156,2085.9927,9.505023407811844e-16,258.06635,830.2926,6302.8257,13680.186,3026.225,2.0,2.0,0.0,0.29648483910785034,1.4026008871252895,3.133,69.11001716045082
