,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac
10,1205093221,2,93.5,221.5,178.085597,-0.82547,0.291,4,19.186,18.634,1.207,3.499,0.73,12.65,0.621121643587341,0.585630337568697,0.529870547755623,0.48802634487448,1.0,1.0,1.0,0.741379310344828,2.24,0.04,7.61,0.07,0.63,0.0,18.27,0.01,11.54,0.15,20.442,0.291,94849430184.3496,92949339385.0266,67192885428.4465,111636642710.217,0.276719035219222,0.0045297486710941,7.424357500286519e-36,0.543365080334275,0.026981104863545255,0.006344131919507731,3.3970384821645268,0.008222249489692732,77.08684335595726,76.91896392875638,77.18191498806009,77.18191498806009,0.4442019874948094,0.06
11,1205197197,3,197.5,197.5,178.079819,-0.826803,0.2912,4,18.587,18.115,1.725,3.466,0.931,43.35,0.621121643587341,0.585630337568697,0.529870547755623,0.48802634487448,1.0,1.0,1.0,1.0,1.73,0.01,1.3,0.01,0.93,0.0,18.07,0.0,7.04,1.97,140.122,0.2912,23213531379.3971,43335621388.2104,26166830928.7183,81455900290.0775,0.215466904508837,0.939869324850763,5.06848116030921e-05,50.647819227429,0.09607808957603299,0.004046432954097737,2.496297781666893,0.07168591778528655,70.97772449809113,70.70048022320233,71.03469870745798,71.03469870745798,0.08679791599631974,0.13
12,1206110186,3,110.5,186.5,180.166761,-1.452576,0.2671,4,18.074,17.492,1.643,5.535,0.801,110.64,0.609172793543294,0.576092976963064,0.520148931617408,0.476961623112236,1.0,1.0,0.0,0.0047619047619047,1.81,0.0,4.12,0.01,0.85,0.0,17.38,0.0,-49.66,0.16,12.657,0.2671,291456528956.193,302119660993.147,244161756867.685,363532075646.397,4.65286883325476e-14,5.77113317447296e-142,0.0,2.7860514831818403e-09,0.023513055002961025,0.0028720288711532507,3.761929195336171,0.021346747148854196,96.61352515572453,96.8802449197772,96.98225426241815,96.98225426241815,0.3704480981064535,0.42
13,1206196198,1,196.5,198.5,180.161982,-1.451909,0.3263,4,18.287,17.686,1.713,5.714,0.909,83.79,0.609172793543294,0.576092976963064,0.520148931617408,0.476961623112236,1.0,1.0,0.0,0.0172413793103448,3.03,0.03,6.55,0.03,0.79,0.0,17.4,0.0,64.05,0.18,24.326,0.3263,245717299927.369,278693999341.451,244322831433.766,378604174931.01,5.5219436452781e-31,3.74430705705936e-21,2.98117746930866e-48,3.7498951732219105e-09,0.03188119448817946,0.003521442859170317,3.9734597010218007,0.007649202393740338,104.26569480282824,103.57295914236464,104.25780702396276,104.25780702396276,0.10837211378727729,0.4
14,1206276211,4,276.5,211.5,180.157536,-1.451187,0.2682,4,19.049,18.484,1.211,3.713,0.919,112.64,0.609172793543294,0.576092976963064,0.520148931617408,0.476961623112236,1.0,1.0,0.0,0.0,1.4,0.01,4.75,0.02,0.9,0.0,18.32,0.0,74.83,0.57,12.742,0.2682,162311064536.17,125238468893.042,102232297681.126,162004172289.713,6.251930501007231e-15,0.0037928889814896,5.61958761845834e-11,0.208947439553469,0.02281510824150152,0.005001079536413611,3.534239929658235,0.017727628913866613,79.10864149498532,78.45050770666484,78.76080815423666,78.76080815423666,0.3605897654707162,0.43
15,1207128248,3,128.5,248.5,182.0037,-2.480786,0.3209,4,19.89,19.455,1.473,3.26,0.553,171.69,0.622195799268185,0.572979659038787,0.508187688681967,0.461776987584158,1.0,0.917647058823529,1.0,0.823529411764706,1.39,0.01,1.81,0.02,0.53,0.0,19.42,0.01,-15.73,0.26,62.065,0.3209,74405862212.9669,78883369547.1631,58666297191.5619,98594028559.2063,1.81270819031013,0.227676206560697,1.45151753941555e-05,3.8556896287143,0.16401411799287963,0.020371425974020155,2.7726217010917935,0.015214931935531617,61.96669632606897,61.87164848177859,62.29486102484645,62.29486102484645,0.8703286140082288,0.3
16,1207197197,1,197.5,197.5,181.999863,-2.483619,0.3205,4,18.9,18.506,1.756,4.729,0.589,58.48,0.622195799268185,0.572979659038787,0.508187688681967,0.461776987584158,1.0,0.902542372881356,1.0,1.0,1.41,0.01,2.42,0.02,0.65,0.0,18.59,0.0,33.91,0.32,86.007,0.3205,96305318114.2631,281652706137.843,137854881335.521,412955691198.353,6.32224844519189,118.556626355761,56.4781447123388,165.43549152674,0.2666123966587716,0.01034299033708486,3.603857939196149,0.013536870077620965,107.00782949241335,107.0869821112934,106.5348504428648,106.5348504428648,0.5315603261770545,0.21
17,1208197197,1,197.5,197.5,184.971649,-2.481029,0.3,4,18.36,17.82,1.256,4.312,0.721,47.37,0.676138279496063,0.640464578903108,0.588886999929458,0.549779090424814,1.0,1.0,0.133333333333333,0.0967741935483871,1.27,0.01,5.25,0.04,0.82,0.0,17.7,0.0,40.99,0.41,39.918,0.3,235147751289.315,184701255555.035,171137920416.542,221625380781.93,1.36320780610972,1.4087362679797,0.270236017382809,2.32049143531725,0.07089193705132245,0.008065748536018767,3.631509210524971,0.016844677841498068,87.07648858585937,87.41556240927254,87.26578183800358,87.26578183800358,0.19220514881905307,0.17
18,1209131247,6,131.5,247.5,185.602194,-1.377202,0.2954,4,19.643,19.159,1.129,2.546,0.667,102.72,0.615920744566381,0.572139905494339,0.508534358210208,0.460650698299677,1.0,1.0,1.0,1.0,1.05,0.0,1.81,0.01,0.52,0.0,19.14,0.0,-83.4,0.18,25.546,0.2954,117993043157.431,93549582200.0073,72308704358.6012,116315212158.878,32.4361985752424,29.5761079942592,13.1495377907567,39.5065461257766,0.06456272405723291,0.006196519874146468,2.6868197179477726,0.10366071558530911,52.93965839402961,52.88708959849292,52.82507159444246,52.82507159444246,0.11543977449500731,0.09
19,1209197197,2,197.5,197.5,185.598526,-1.379979,0.2954,4,18.877,18.366,1.602,3.28,0.784,156.12,0.615920744566381,0.572139905494339,0.508534358210208,0.460650698299677,1.0,1.0,1.0,1.0,1.82,0.01,1.9,0.02,0.64,0.0,18.28,0.01,-30.58,0.46,176.302,0.2954,143777376216.764,184369420608.634,139443581947.226,215318098869.259,1.22811542450774e-10,4.9348701328814815e-09,1.8184701430429096e-56,6.00552608741488,0.10388151185639051,0.0039914194679440025,2.661638425341354,0.029189589173652285,64.32671387273967,64.19154428504574,64.29632300071432,64.29632300071432,0.13705530129703164,0.22
